Appointment / Servicing Provider,Month,CPT Code,None,Billed Charge,Payer Charge,Self Charge,Payment,Payments %,Payer Payment,Patient Payment,Contractual Adjustment,Payer Withheld,Writeoff Adjustment,Refund,Patient Count,Claim Count,Units,Change in A/R,Collection %
"Ables, Sydney K",March_2025,99213,None,0,0,0,25,,0,25,0,0,0,0,0,0,0,-25,
"Ables, Sydney K",March_2025,99214,None,0,0,0,20,,0,20,0,0,0,0,0,0,0,-20,
"Ables, Sydney K",April_2025,99214,None,0,0,0,35,,0,35,0,0,0,0,0,0,0,-35,
"Ables, Sydney K",July_2025,96127,None,0,0,0,13,,0,13,0,0,0,0,0,0,0,-13,
"Ables, Sydney K",July_2025,99214,None,0,0,0,117.72,,0,117.72,0,0,0,0,0,0,0,-117.72,
"Ables, Sydney K",August_2025,1036F,None,0,0,0,0,,0,0,0,0,0,0,92,92,92,0,
"Ables, Sydney K",August_2025,96127,None,533,533,0,57.96,0.10874296,54.24,3.72,128.62,0,0,0,41,41,41,346.42,0.35005629
"Ables, Sydney K",August_2025,99204,None,"5,940","5,940",0,967.76,0.16292256,397.76,570,"1,073.92",0,0,0,18,18,18,"3,898.32",0.34371717
"Ables, Sydney K",August_2025,99205,None,"1,248","1,248",0,432.9,0.346875,352.9,80,479.1,0,0,0,3,3,3,336,0.73076923
"Ables, Sydney K",August_2025,99213,None,"3,675","3,675",0,736.52,0.20041361,271.52,465,375.51,0,0,0,25,25,25,"2,562.97",0.3025932
"Ables, Sydney K",August_2025,99214,None,"12,000","12,000",0,"2,040.26",0.17002167,"1,374.76",665.5,"2,233.13",0,0,0,48,48,48,"7,726.61",0.35611583
"Ables, Sydney K",August_2025,99215,None,876,876,0,169.45,0.19343607,169.45,0,122.55,0,0,0,3,3,3,584,0.33333333
"Ables, Sydney K",August_2025,99439,None,80,80,0,0,0,0,0,0,0,0,0,1,1,1,80,0
"Ables, Sydney K",August_2025,99490,None,340,340,0,0,0,0,0,0,0,0,0,4,4,4,340,0
"Ables, Sydney K",August_2025,G0030,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Ables, Sydney K",August_2025,G2211,None,240,240,0,25.52,0.10633333,25.52,0,34.48,0,0,0,8,8,8,180,0.25
"Ables, Sydney K",August_2025,G8417,None,0,0,0,0,,0,0,0,0,0,0,47,47,53,0,
"Ables, Sydney K",August_2025,G8431,None,0,0,0,0,,0,0,0,0,0,0,4,4,4,0,
"Ables, Sydney K",August_2025,G8510,None,0,0,0,0,,0,0,0,0,0,0,90,90,90,0,
"Ables, Sydney K",August_2025,G8783,None,0,0,0,0,,0,0,0,0,0,0,81,81,81,0,
"Ables, Sydney K",August_2025,G8950,None,0,0,0,0,,0,0,0,0,0,0,4,4,4,0,
"Ables, Sydney K",August_2025,G9902,None,0,0,0,0,,0,0,0,0,0,0,4,4,4,0,
"Ables, Sydney K",August_2025,G9903,None,0,0,0,0,,0,0,0,0,0,0,92,92,92,0,
"Ables, Sydney K",August_2025,G9906,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Ables, Sydney K",August_2025,Nshow,None,100,100,0,70,0.7,0,70,0,0,0,0,2,2,2,30,0.7
"Ables, Sydney K",September_2025,1036F,None,0,0,0,0,,0,0,0,0,0,0,139,140,140,0,
"Ables, Sydney K",September_2025,3077F,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Ables, Sydney K",September_2025,3079F,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Ables, Sydney K",September_2025,95811,None,"1,324","1,324",0,180,0.13595166,0,180,0,0,0,0,1,1,1,"1,144",0.13595166
"Ables, Sydney K",September_2025,96127,None,"1,001","1,001",0,348.46,0.34811189,335.09,13.37,550.47,0,0,0,76,77,77,102.07,0.89803197
"Ables, Sydney K",September_2025,99204,None,"4,290","4,290",0,"2,833.58",0.66050816,"1,926.81",906.77,"2,930.15",0,0,0,13,13,13,"-1,473.73",1.34352681
"Ables, Sydney K",September_2025,99205,None,"1,248","1,248",0,514.32,0.41211538,459.32,55,322.68,0,0,0,3,3,3,411,0.67067308
"Ables, Sydney K",September_2025,99213,None,"2,940","2,940",0,"2,318.44",0.78858503,"2,157.08",161.36,"1,868.78",0,0,0,20,20,20,"-1,247.22",1.42422449
"Ables, Sydney K",September_2025,99214,None,"29,000","29,000",0,"10,406.71",0.35885207,"8,401.59","2,005.12","12,325.48",0,250,0,115,116,116,"6,017.81",0.79248931
"Ables, Sydney K",September_2025,99215,None,"1,168","1,168",0,573.76,0.49123288,573.76,0,679.96,0,0,0,4,4,4,-85.72,1.07339041
"Ables, Sydney K",September_2025,99406,None,60,60,0,26.15,0.43583333,26.15,0,33.85,0,0,0,2,2,2,0,1
"Ables, Sydney K",September_2025,99439,None,400,400,0,42.35,0.105875,42.35,0,37.65,0,0,0,4,4,5,320,0.2
"Ables, Sydney K",September_2025,99454,None,65,65,0,0,0,0,0,0,0,0,0,1,1,1,65,0
"Ables, Sydney K",September_2025,99457,None,55,55,0,0,0,0,0,0,0,0,0,1,1,1,55,0
"Ables, Sydney K",September_2025,99490,None,850,850,0,200.4,0.23576471,200.4,0,116.92,0,0,0,10,10,10,532.68,0.37331765
"Ables, Sydney K",September_2025,G0030,None,0,0,0,0,,0,0,0,0,0,0,3,3,3,0,
"Ables, Sydney K",September_2025,G2211,None,420,420,0,189.03,0.45007143,189.03,0,243.51,0,0,0,14,14,14,-12.54,1.02985714
"Ables, Sydney K",September_2025,G8417,None,0,0,0,0,,0,0,0,0,0,0,93,94,96,0,
"Ables, Sydney K",September_2025,G8431,None,0,0,0,0,,0,0,0,0,0,0,3,3,3,0,
"Ables, Sydney K",September_2025,G8510,None,0,0,0,0,,0,0,0,0,0,0,143,144,144,0,
"Ables, Sydney K",September_2025,G8783,None,0,0,0,0,,0,0,0,0,0,0,113,114,114,0,
"Ables, Sydney K",September_2025,G8950,None,0,0,0,0,,0,0,0,0,0,0,8,8,8,0,
