NAME,STATUS,HIRE DATE,TERMINATION DATE,JOB TITLE,PAY DATE,GROSS PAY,TOTAL EARNINGS
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,01/10/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,01/24/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,02/07/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,02/21/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,03/07/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,03/21/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,04/04/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,04/18/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,05/02/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,05/16/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,05/30/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,06/13/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,06/27/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,07/11/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,07/25/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,08/08/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,08/22/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,09/05/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,09/19/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,10/03/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,10/17/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,10/31/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,11/14/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,11/28/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,12/12/2025,"12,500.00","12,500.00"
"Chen, Michael",A-Active,01/01/2025,,001-Cardiologist,12/26/2025,"12,500.00","12,500.00"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,01/10/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,01/24/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,02/07/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,02/21/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,03/07/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,03/21/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,04/04/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,04/18/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,05/02/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,05/16/2025,"11,538.46","11,538.46"
"Patel, Sarah",A-Active,01/01/2025,,002-Cardiologist,05/30/2025,"11,538.46","11,538.46"
